epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.789,0.69135,0.51008,1.03942,0.70801,0.70029,0.72288,0.50307,1.13832,0.8643,1.10794,0.000207589,0.000207589,0.000207589
2,590.086,0.69443,0.50469,1.04069,0.70076,0.69617,0.71521,0.50098,1.15753,0.82907,1.13066,0.000388472,0.000388472,0.000388472
3,914.243,0.70331,0.51602,1.04606,0.73172,0.67464,0.72987,0.50818,1.14603,0.86209,1.1062,0.000541854,0.000541854,0.000541854
4,1254.55,0.70396,0.51062,1.05054,0.74195,0.68412,0.73905,0.50453,1.15608,0.78575,1.12398,0.00050125,0.00050125,0.00050125
5,1526.17,0.70454,0.5108,1.04274,0.69738,0.70488,0.72045,0.50101,1.14192,0.78612,1.11585,0.00046,0.00046,0.00046
6,1836.49,0.73303,0.46267,0.99875,0.72188,0.657,0.70358,0.48874,1.1387,0.85409,1.10334,0.00041875,0.00041875,0.00041875
7,2150.88,0.73097,0.45346,0.98652,0.72198,0.67647,0.71655,0.4993,1.15414,0.81606,1.12141,0.0003775,0.0003775,0.0003775
8,2393.53,0.70776,0.42351,0.97369,0.73882,0.69515,0.72373,0.50421,1.15323,0.83431,1.12747,0.00033625,0.00033625,0.00033625
9,2640.84,0.71364,0.42586,0.9743,0.72746,0.70075,0.73078,0.51017,1.12009,0.81091,1.10707,0.000295,0.000295,0.000295
10,2966.39,0.69988,0.41223,0.96798,0.72498,0.71137,0.73682,0.51522,1.13131,0.8182,1.10363,0.00025375,0.00025375,0.00025375
11,3259.7,0.68921,0.41679,0.9659,0.73606,0.70031,0.72988,0.50652,1.17082,0.82618,1.13297,0.0002125,0.0002125,0.0002125
12,3505.58,0.68363,0.40341,0.95443,0.73414,0.69095,0.73844,0.51802,1.13103,0.81062,1.10329,0.00017125,0.00017125,0.00017125
13,3892.26,0.67657,0.39739,0.94962,0.72618,0.70278,0.74228,0.5192,1.13355,0.78988,1.1177,0.00013,0.00013,0.00013
14,4157.44,0.66258,0.37654,0.94847,0.73237,0.703,0.74198,0.5198,1.13828,0.81052,1.11737,8.875e-05,8.875e-05,8.875e-05
15,4375.74,0.6607,0.37919,0.94621,0.73861,0.70075,0.7426,0.52086,1.13046,0.79981,1.11383,4.75e-05,4.75e-05,4.75e-05
