transformators: 38 объектов

bracing: 19 объектов
  Объект 1: x1=2961, y1=912, x2=2993, y2=948
  Объект 2: x1=2962, y1=712, x2=2992, y2=792
  Объект 3: x1=1090, y1=972, x2=1146, y2=1013
  Объект 4: x1=1468, y1=971, x2=1523, y2=1013
  Объект 5: x1=2950, y1=973, x2=3000, y2=1013
  Объект 6: x1=2240, y1=572, x2=2264, y2=610
  Объект 7: x1=1846, y1=972, x2=1902, y2=1013
  Объект 8: x1=1107, y1=586, x2=1129, y2=617
  Объект 9: x1=2620, y1=523, x2=2662, y2=613
  Объект 10: x1=2617, y1=578, x2=2641, y2=614
  Объект 11: x1=2240, y1=548, x2=2269, y2=610
  Объект 12: x1=1864, y1=556, x2=1899, y2=612
  Объект 13: x1=2959, y1=915, x2=2990, y2=953
  Объект 14: x1=1862, y1=579, x2=1885, y2=613
  Объект 15: x1=1484, y1=571, x2=1509, y2=611
  Объект 16: x1=2910, y1=914, x2=2971, y2=964
  Объект 17: x1=1111, y1=558, x2=1145, y2=612
  Объект 18: x1=1483, y1=561, x2=1513, y2=611
  Объект 19: x1=2240, y1=535, x2=2279, y2=611

automatics: 6 объектов
  Объект 1: x1=1083, y1=626, x2=1128, y2=709
  Объект 2: x1=2941, y1=813, x2=3021, y2=898
  Объект 3: x1=1461, y1=617, x2=1506, y2=699
  Объект 4: x1=2217, y1=617, x2=2262, y2=700
  Объект 5: x1=2595, y1=618, x2=2639, y2=701
  Объект 6: x1=1839, y1=618, x2=1883, y2=701

