text: 73 объектов
  Объект 3: x1=1035, y1=257, x2=1060, y2=277
  Объект 4: x1=76, y1=257, x2=100, y2=276
  Объект 5: x1=1197, y1=257, x2=1222, y2=277
  Объект 6: x1=400, y1=257, x2=424, y2=276
  Объект 7: x1=711, y1=257, x2=735, y2=276
  Объект 8: x1=873, y1=257, x2=897, y2=276
  Объект 9: x1=238, y1=257, x2=262, y2=276
  Объект 10: x1=718, y1=78, x2=728, y2=94
  Объект 11: x1=245, y1=78, x2=255, y2=93
  Объект 12: x1=1205, y1=78, x2=1215, y2=93
  Объект 13: x1=83, y1=78, x2=93, y2=91

automatics: 8 объектов
  Объект 1: x1=73, y1=95, x2=93, y2=131
  Объект 2: x1=1033, y1=95, x2=1052, y2=131
  Объект 3: x1=235, y1=95, x2=255, y2=131
  Объект 4: x1=1195, y1=95, x2=1214, y2=131
  Объект 5: x1=708, y1=95, x2=728, y2=130
  Объект 6: x1=397, y1=94, x2=418, y2=132
  Объект 7: x1=870, y1=95, x2=890, y2=132
  Объект 8: x1=542, y1=138, x2=562, y2=176

