text: 200 объектов
  Объект 111: x1=2977, y1=779, x2=3060, y2=873
  Объект 112: x1=3719, y1=588, x2=3814, y2=690
  Объект 113: x1=5628, y1=783, x2=5701, y2=847
  Объект 114: x1=3809, y1=520, x2=3937, y2=674
  Объект 115: x1=4087, y1=564, x2=4167, y2=677
  Объект 116: x1=4485, y1=841, x2=4570, y2=904
  Объект 117: x1=7030, y1=749, x2=7104, y2=846
  Объект 118: x1=1511, y1=766, x2=1597, y2=830
  Объект 119: x1=7465, y1=576, x2=7547, y2=678
  Объект 120: x1=2941, y1=767, x2=2996, y2=826
  Объект 121: x1=4103, y1=566, x2=4200, y2=683
  Объект 122: x1=5639, y1=518, x2=5780, y2=637
  Объект 123: x1=2639, y1=669, x2=2756, y2=735
  Объект 124: x1=5820, y1=704, x2=5961, y2=829
  Объект 125: x1=6702, y1=780, x2=6871, y2=861
  Объект 126: x1=1127, y1=764, x2=1217, y2=823
  Объект 127: x1=1314, y1=720, x2=1473, y2=854
  Объект 128: x1=7486, y1=785, x2=7583, y2=867
  Объект 129: x1=5131, y1=702, x2=5199, y2=781
  Объект 130: x1=4081, y1=775, x2=4273, y2=868
  Объект 131: x1=2461, y1=719, x2=2583, y2=818
  Объект 132: x1=1061, y1=758, x2=1126, y2=839
  Объект 133: x1=2658, y1=777, x2=2733, y2=848
  Объект 134: x1=8660, y1=785, x2=8744, y2=855
  Объект 135: x1=5216, y1=681, x2=5302, y2=759
  Объект 136: x1=5552, y1=777, x2=5623, y2=847
  Объект 137: x1=1096, y1=761, x2=1183, y2=825
  Объект 138: x1=6366, y1=782, x2=6472, y2=861
  Объект 139: x1=9240, y1=838, x2=9317, y2=952
  Объект 140: x1=6385, y1=648, x2=6498, y2=736
  Объект 141: x1=7142, y1=760, x2=7249, y2=814
  Объект 142: x1=3718, y1=548, x2=3799, y2=671
  Объект 143: x1=2639, y1=645, x2=2757, y2=732
  Объект 144: x1=8249, y1=608, x2=8306, y2=683
  Объект 145: x1=2226, y1=600, x2=2292, y2=676
  Объект 146: x1=6001, y1=762, x2=6100, y2=832
  Объект 147: x1=4443, y1=758, x2=4521, y2=840
  Объект 148: x1=7115, y1=630, x2=7248, y2=732
  Объект 149: x1=5614, y1=764, x2=5715, y2=841
  Объект 150: x1=6824, y1=752, x2=7063, y2=922
  Объект 151: x1=3769, y1=519, x2=3934, y2=690
  Объект 152: x1=7844, y1=586, x2=7966, y2=691
  Объект 153: x1=6076, y1=701, x2=6326, y2=892
  Объект 154: x1=4528, y1=630, x2=4626, y2=735
  Объект 155: x1=7287, y1=720, x2=7466, y2=838
  Объект 156: x1=3728, y1=542, x2=3820, y2=683
  Объект 157: x1=3123, y1=705, x2=3346, y2=867
  Объект 158: x1=4468, y1=778, x2=4537, y2=860
  Объект 159: x1=6030, y1=747, x2=6137, y2=800
  Объект 160: x1=1811, y1=743, x2=1955, y2=845
  Объект 161: x1=2643, y1=779, x2=2754, y2=865
  Объект 162: x1=5650, y1=778, x2=5738, y2=859
  Объект 163: x1=7520, y1=939, x2=7652, y2=1015
  Объект 164: x1=6633, y1=562, x2=6748, y2=683
  Объект 165: x1=5654, y1=746, x2=5753, y2=810
  Объект 166: x1=8911, y1=785, x2=8954, y2=845
  Объект 167: x1=7834, y1=773, x2=8005, y2=863
  Объект 168: x1=5202, y1=788, x2=5271, y2=844
  Объект 169: x1=6770, y1=940, x2=6891, y2=1016
  Объект 170: x1=3356, y1=594, x2=3414, y2=695
  Объект 171: x1=9225, y1=806, x2=9330, y2=954
  Объект 172: x1=8646, y1=784, x2=8734, y2=865
  Объект 173: x1=4999, y1=681, x2=5166, y2=786
  Объект 174: x1=3080, y1=747, x2=3171, y2=810
  Объект 175: x1=9364, y1=756, x2=9487, y2=902
  Объект 176: x1=7424, y1=786, x2=7499, y2=859
  Объект 177: x1=9189, y1=725, x2=9293, y2=862
  Объект 178: x1=6837, y1=709, x2=7067, y2=869
  Объект 179: x1=2987, y1=820, x2=3084, y2=899
  Объект 180: x1=2772, y1=720, x2=2993, y2=851
  Объект 181: x1=5550, y1=756, x2=5630, y2=845
  Объект 182: x1=9415, y1=515, x2=9543, y2=640
  Объект 183: x1=2700, y1=745, x2=2816, y2=814
  Объект 184: x1=6068, y1=730, x2=6257, y2=843
  Объект 185: x1=5635, y1=635, x2=5753, y2=733
  Объект 186: x1=8227, y1=532, x2=8303, y2=662
  Объект 187: x1=1522, y1=936, x2=1668, y2=1017
  Объект 188: x1=1407, y1=775, x2=1475, y2=847
  Объект 189: x1=7835, y1=914, x2=7930, y2=970
  Объект 190: x1=972, y1=703, x2=1105, y2=844
  Объект 191: x1=2561, y1=781, x2=2610, y2=852
  Объект 192: x1=6171, y1=697, x2=6326, y2=849
  Объект 193: x1=4872, y1=744, x2=4935, y2=820
  Объект 194: x1=5221, y1=678, x2=5354, y2=781
  Объект 195: x1=5526, y1=779, x2=5646, y2=854
  Объект 196: x1=2164, y1=557, x2=2278, y2=672
  Объект 197: x1=4611, y1=706, x2=4850, y2=855
  Объект 198: x1=415, y1=202, x2=572, y2=286
  Объект 199: x1=6842, y1=775, x2=6975, y2=897
  Объект 200: x1=998, y1=913, x2=1072, y2=961

transformators: 32 объектов
  Объект 1: x1=8567, y1=784, x2=8642, y2=851
  Объект 2: x1=7478, y1=786, x2=7573, y2=866
  Объект 3: x1=7449, y1=787, x2=7508, y2=855
  Объект 4: x1=5924, y1=787, x2=5969, y2=840
  Объект 5: x1=2553, y1=781, x2=2606, y2=845
  Объект 6: x1=4810, y1=781, x2=4861, y2=835
  Объект 7: x1=7117, y1=788, x2=7198, y2=857
  Объект 8: x1=7076, y1=785, x2=7122, y2=842
  Объект 9: x1=5985, y1=786, x2=6040, y2=838
  Объект 10: x1=6003, y1=786, x2=6074, y2=842
  Объект 11: x1=7514, y1=785, x2=7586, y2=860
  Объект 12: x1=8916, y1=787, x2=8960, y2=846
  Объект 13: x1=2945, y1=773, x2=2997, y2=837
  Объект 14: x1=1442, y1=775, x2=1494, y2=843
  Объект 15: x1=7044, y1=784, x2=7101, y2=848
  Объект 16: x1=8660, y1=785, x2=8722, y2=845
  Объект 17: x1=6327, y1=586, x2=6383, y2=665
  Объект 18: x1=7416, y1=794, x2=7472, y2=857
  Объект 19: x1=9367, y1=788, x2=9468, y2=911
  Объект 20: x1=1509, y1=778, x2=1582, y2=835
  Объект 21: x1=1490, y1=778, x2=1567, y2=840
  Объект 22: x1=8582, y1=796, x2=8668, y2=915
  Объект 23: x1=1109, y1=779, x2=1174, y2=867
  Объект 24: x1=2574, y1=777, x2=2647, y2=852
  Объект 25: x1=3010, y1=779, x2=3090, y2=850
  Объект 26: x1=2620, y1=779, x2=2700, y2=858
  Объект 27: x1=9301, y1=794, x2=9356, y2=892
  Объект 28: x1=4881, y1=781, x2=4951, y2=839
  Объект 29: x1=9290, y1=797, x2=9351, y2=942
  Объект 30: x1=1062, y1=777, x2=1112, y2=844
  Объект 31: x1=7472, y1=783, x2=7576, y2=898
  Объект 32: x1=7103, y1=798, x2=7186, y2=913

WH_Counter: 12 объектов
  Объект 1: x1=9434, y1=511, x2=9538, y2=639
  Объект 2: x1=1539, y1=516, x2=1673, y2=675
  Объект 3: x1=6055, y1=517, x2=6162, y2=669
  Объект 4: x1=4929, y1=519, x2=5054, y2=666
  Объект 5: x1=2700, y1=512, x2=2804, y2=637
  Объект 6: x1=8284, y1=524, x2=8428, y2=684
  Объект 7: x1=8692, y1=514, x2=8803, y2=652
  Объект 8: x1=4577, y1=513, x2=4679, y2=637
  Объект 9: x1=2300, y1=528, x2=2426, y2=667
  Объект 10: x1=7195, y1=516, x2=7295, y2=635
  Объект 11: x1=1187, y1=512, x2=1300, y2=643
  Объект 12: x1=9033, y1=517, x2=9170, y2=685

automatics: 48 объектов
  Объект 1: x1=8597, y1=575, x2=8660, y2=664
  Объект 2: x1=5568, y1=589, x2=5646, y2=695
  Объект 3: x1=4469, y1=599, x2=4526, y2=685
  Объект 4: x1=7836, y1=583, x2=7902, y2=656
  Объект 5: x1=7464, y1=583, x2=7549, y2=677
  Объект 6: x1=1835, y1=582, x2=1886, y2=648
  Объект 7: x1=4850, y1=591, x2=4903, y2=667
  Объект 8: x1=3349, y1=588, x2=3407, y2=662
  Объект 9: x1=7088, y1=602, x2=7139, y2=674
  Объект 10: x1=5956, y1=590, x2=6013, y2=675
  Объект 11: x1=2976, y1=588, x2=3075, y2=695
  Объект 12: x1=3728, y1=932, x2=3788, y2=1006
  Объект 13: x1=1079, y1=591, x2=1152, y2=682
  Объект 14: x1=7837, y1=582, x2=7922, y2=685
  Объект 15: x1=1839, y1=930, x2=1914, y2=1004
  Объект 16: x1=3355, y1=567, x2=3411, y2=676
  Объект 17: x1=1459, y1=579, x2=1523, y2=667
  Объект 18: x1=2600, y1=596, x2=2651, y2=671
  Объект 19: x1=7836, y1=575, x2=7907, y2=676
  Объект 20: x1=8238, y1=934, x2=8356, y2=1007
  Объект 21: x1=6327, y1=589, x2=6382, y2=676
  Объект 22: x1=8956, y1=553, x2=9017, y2=684
  Объект 23: x1=3350, y1=587, x2=3418, y2=689
  Объект 24: x1=2966, y1=906, x2=3015, y2=965
  Объект 25: x1=3710, y1=925, x2=3780, y2=997
  Объект 26: x1=1485, y1=842, x2=1539, y2=903
  Объект 27: x1=3329, y1=922, x2=3399, y2=997
  Объект 28: x1=7798, y1=909, x2=7891, y2=1002
  Объект 29: x1=6708, y1=928, x2=6795, y2=1008
  Объект 30: x1=4464, y1=934, x2=4530, y2=1007
  Объект 31: x1=6703, y1=908, x2=6784, y2=968
  Объект 32: x1=1102, y1=828, x2=1158, y2=905
  Объект 33: x1=5576, y1=845, x2=5673, y2=916
  Объект 34: x1=2201, y1=915, x2=2305, y2=986
  Объект 35: x1=7774, y1=910, x2=7891, y2=968
  Объект 36: x1=3295, y1=917, x2=3389, y2=977
  Объект 37: x1=8172, y1=922, x2=8264, y2=997
  Объект 38: x1=3728, y1=919, x2=3813, y2=997
  Объект 39: x1=1463, y1=937, x2=1565, y2=1015
  Объект 40: x1=7103, y1=788, x2=7160, y2=868
  Объект 41: x1=6322, y1=908, x2=6413, y2=948
  Объект 42: x1=8650, y1=792, x2=8721, y2=903
  Объект 43: x1=5181, y1=696, x2=5246, y2=762
  Объект 44: x1=1760, y1=907, x2=1893, y2=997
  Объект 45: x1=1891, y1=921, x2=1997, y2=1000
  Объект 46: x1=1835, y1=592, x2=1889, y2=678
  Объект 47: x1=8594, y1=938, x2=8677, y2=1004
  Объект 48: x1=2614, y1=789, x2=2700, y2=898

bracing: 8 объектов
  Объект 1: x1=9340, y1=632, x2=9431, y2=726
  Объект 2: x1=7465, y1=912, x2=7505, y2=952
  Объект 3: x1=8587, y1=785, x2=8656, y2=864
  Объект 4: x1=4482, y1=528, x2=4525, y2=591
  Объект 5: x1=1499, y1=776, x2=1566, y2=860
  Объект 6: x1=6617, y1=901, x2=6713, y2=967
  Объект 7: x1=7758, y1=904, x2=7870, y2=968
  Объект 8: x1=1908, y1=937, x2=1990, y2=1007

