transformators: 5 объектов
  Объект 1: x1=1542, y1=799, x2=1582, y2=834
  Объект 2: x1=2676, y1=799, x2=2715, y2=835
  Объект 3: x1=2297, y1=800, x2=2337, y2=835
  Объект 4: x1=1920, y1=799, x2=1959, y2=835
  Объект 5: x1=1164, y1=799, x2=1203, y2=835

WH_Counter: 6 объектов
  Объект 1: x1=1626, y1=477, x2=1712, y2=593
  Объект 2: x1=2382, y1=477, x2=2467, y2=593
  Объект 3: x1=2004, y1=476, x2=2090, y2=593
  Объект 4: x1=2759, y1=475, x2=2846, y2=592
  Объект 5: x1=1248, y1=477, x2=1334, y2=591
  Объект 6: x1=3175, y1=2175, x2=3276, y2=2304

bracing: 16 объектов
  Объект 1: x1=2299, y1=726, x2=2331, y2=760
  Объект 2: x1=1543, y1=725, x2=1575, y2=760
  Объект 3: x1=1920, y1=725, x2=1953, y2=761
  Объект 4: x1=2676, y1=725, x2=2709, y2=761
  Объект 5: x1=1164, y1=725, x2=1196, y2=762
  Объект 6: x1=1165, y1=518, x2=1195, y2=602
  Объект 7: x1=2677, y1=519, x2=2706, y2=601
  Объект 8: x1=1922, y1=520, x2=1951, y2=602
  Объект 9: x1=2299, y1=521, x2=2329, y2=600
  Объект 10: x1=1543, y1=521, x2=1573, y2=603
  Объект 11: x1=2667, y1=893, x2=2721, y2=935
  Объект 12: x1=1913, y1=894, x2=1964, y2=934
  Объект 13: x1=1546, y1=713, x2=1573, y2=759
  Объект 14: x1=1535, y1=894, x2=1583, y2=936
  Объект 15: x1=1158, y1=894, x2=1207, y2=935
  Объект 16: x1=2290, y1=893, x2=2342, y2=938

text: 12 объектов
  Объект 1: x1=1957, y1=631, x2=2067, y2=730
  Объект 2: x1=1578, y1=630, x2=1690, y2=729
  Объект 3: x1=1202, y1=630, x2=1312, y2=729
  Объект 4: x1=2335, y1=631, x2=2448, y2=728
  Объект 5: x1=2712, y1=632, x2=2828, y2=730
  Объект 6: x1=2310, y1=778, x2=2361, y2=802
  Объект 7: x1=2599, y1=49, x2=2707, y2=129
  Объект 8: x1=2634, y1=49, x2=2743, y2=129
  Объект 9: x1=1553, y1=778, x2=1605, y2=803
  Объект 10: x1=2564, y1=47, x2=2673, y2=129
  Объект 11: x1=2531, y1=47, x2=2639, y2=130
  Объект 12: x1=2667, y1=49, x2=2779, y2=129

automatics: 5 объектов
  Объект 1: x1=2280, y1=625, x2=2323, y2=709
  Объект 2: x1=1524, y1=625, x2=1569, y2=709
  Объект 3: x1=2658, y1=625, x2=2702, y2=709
  Объект 4: x1=1903, y1=625, x2=1948, y2=710
  Объект 5: x1=1147, y1=625, x2=1192, y2=710

